loan_status,Principal,terms,past_due_days,age,Gender,loan_duration_days,education_High School or Below,education_Master or Above,education_college
0,1000,30,0.0,45,0,29,True,False,False
0,1000,30,0.0,50,1,29,False,False,False
0,1000,30,0.0,33,1,29,False,False,False
0,1000,15,0.0,27,0,14,False,False,True
0,1000,30,0.0,28,1,29,False,False,True
0,300,7,0.0,35,0,6,False,True,False
0,1000,30,0.0,29,0,29,False,False,True
0,1000,30,0.0,36,0,29,False,False,True
0,1000,30,0.0,28,0,29,False,False,True
0,800,15,0.0,26,0,14,False,False,True
0,300,7,0.0,29,0,6,False,False,True
0,1000,15,0.0,39,0,29,True,False,False
0,1000,30,0.0,26,0,29,False,False,True
0,900,7,0.0,26,1,6,False,False,True
0,1000,7,0.0,27,0,6,True,False,False
0,800,15,0.0,26,0,14,False,False,True
0,1000,30,0.0,40,0,29,True,False,False
0,1000,15,0.0,32,0,14,True,False,False
0,1000,30,0.0,32,0,29,True,False,False
0,800,30,0.0,26,0,29,False,False,True
0,1000,30,0.0,26,0,29,False,False,True
0,1000,30,0.0,43,1,29,True,False,False
0,1000,30,0.0,25,0,29,True,False,False
0,1000,15,0.0,26,0,14,False,False,True
0,1000,30,0.0,26,0,29,False,False,True
0,1000,30,0.0,29,0,29,True,False,False
0,800,15,0.0,39,0,14,False,False,False
0,1000,15,0.0,34,0,14,False,False,False
0,1000,30,0.0,31,0,29,False,False,True
0,1000,30,0.0,33,0,29,False,False,True
0,800,15,0.0,33,0,14,True,False,False
0,1000,30,0.0,37,0,29,False,False,True
0,1000,30,0.0,27,0,29,False,False,True
0,1000,30,0.0,37,0,29,False,False,True
0,800,15,0.0,33,0,14,False,False,True
0,800,15,0.0,29,0,14,False,False,False
0,1000,30,0.0,27,0,29,True,False,False
0,700,15,0.0,33,0,14,True,False,False
0,1000,15,0.0,24,0,14,False,False,True
0,1000,30,0.0,21,0,29,False,False,False
0,1000,15,0.0,32,1,14,False,False,True
0,800,15,0.0,30,0,14,False,False,True
0,1000,7,0.0,31,0,13,False,False,False
0,1000,15,0.0,30,0,14,False,False,True
0,1000,15,0.0,24,1,14,False,False,False
0,800,7,0.0,35,0,6,True,False,False
0,1000,30,0.0,22,0,29,True,False,False
0,1000,30,0.0,32,0,29,False,False,True
0,1000,30,0.0,32,0,29,False,False,False
0,800,15,0.0,50,0,14,True,False,False
0,800,15,0.0,27,1,14,False,False,True
0,1000,30,0.0,35,1,29,False,False,False
0,800,15,0.0,35,1,14,False,False,False
0,1000,30,0.0,34,0,29,True,False,False
0,1000,30,0.0,21,0,29,True,False,False
0,1000,15,0.0,25,0,14,False,False,True
0,1000,30,0.0,27,0,29,True,False,False
0,1000,30,0.0,26,0,29,False,False,False
0,800,15,0.0,44,1,14,True,False,False
0,800,15,0.0,39,0,14,False,True,False
0,1000,30,0.0,34,0,29,False,False,False
0,1000,15,0.0,37,0,14,False,False,True
0,1000,30,0.0,34,0,29,True,False,False
0,1000,30,0.0,45,0,29,False,False,True
0,800,15,0.0,24,0,14,True,False,False
0,900,15,0.0,28,0,14,False,False,True
0,1000,30,0.0,28,0,29,False,False,False
0,1000,30,0.0,37,0,29,True,False,False
0,300,7,0.0,35,0,6,False,False,True
0,1000,30,0.0,43,0,29,False,False,False
0,800,15,0.0,29,0,14,False,False,True
0,800,15,0.0,29,0,14,True,False,False
0,1000,30,0.0,33,1,29,False,False,False
0,1000,15,0.0,34,0,14,False,False,True
0,1000,15,0.0,25,0,14,False,False,True
0,1000,30,0.0,30,0,29,True,False,False
0,1000,30,0.0,31,0,29,False,False,False
0,1000,30,0.0,35,0,29,False,False,True
0,1000,30,0.0,37,1,29,False,False,True
0,1000,30,0.0,44,1,29,True,False,False
0,1000,30,0.0,28,0,29,True,False,False
0,1000,7,0.0,25,0,6,False,False,True
0,1000,15,0.0,29,0,14,False,False,True
0,800,15,0.0,33,0,14,False,False,True
0,1000,30,0.0,37,1,29,True,False,False
0,1000,30,0.0,33,0,59,False,False,True
0,1000,30,0.0,24,1,29,True,False,False
0,1000,30,0.0,27,1,29,False,False,True
0,800,15,0.0,43,0,14,False,False,False
0,800,15,0.0,46,1,14,True,False,False
0,800,15,0.0,34,1,14,False,False,True
0,1000,7,0.0,32,1,6,False,False,False
0,800,15,0.0,38,0,14,True,False,False
0,800,15,0.0,27,0,14,True,False,False
0,1000,30,0.0,33,0,29,True,False,False
0,1000,30,0.0,36,0,29,False,False,True
0,1000,15,0.0,26,0,14,True,False,False
0,1000,30,0.0,34,0,29,False,False,True
0,1000,30,0.0,22,0,29,True,False,False
0,1000,30,0.0,31,1,29,False,False,False
0,1000,7,0.0,29,0,6,True,False,False
0,800,15,0.0,38,0,14,False,False,True
0,1000,30,0.0,30,0,29,False,False,True
0,1000,15,0.0,45,0,14,True,False,False
0,1000,15,0.0,35,0,14,False,False,True
0,1000,30,0.0,30,0,29,False,False,True
0,1000,30,0.0,31,0,29,True,False,False
0,1000,30,0.0,31,0,29,True,False,False
0,1000,30,0.0,28,0,29,False,False,True
0,1000,7,0.0,29,0,13,False,False,True
0,800,15,0.0,29,0,14,False,False,True
0,1000,30,0.0,27,1,59,False,False,True
